Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
0,Shops,Allen Avenue Roundabout Allen Avenue Ikeja Lagos,₦,"750,000",1,0,0,0 beds,0 baths,0 Toilets,Allen Avenue
1,Newly Built 5 Bedrooms Detached Triplex,"Eso Close, Off Oduduwa Crescent, Gra Ikeja, Lagos Ikeja Gra Ikeja Lagos",₦,"280,000,000",0,1,0,5 beds,5 baths,6 Toilets,GRA
2,1800m2 Land,Off Adedayo Banjo Street Opebi Ikeja Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets,Opebi
3,5 Bedroom Fully Detached Duplex,Magodo Ikeja Lagos,₦,"300,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikeja
4,Luxury Built 4bedroom Fully Detached Duplex,Ikeja Lagos,₦,"295,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Ikeja
5,Massive 5 Bedroom Fully Detached Duplex,Magodo Ikeja Lagos,₦,"250,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikeja
6,A Newly Built & Tastefully Finished Luxury 5bedroom Fully Detached Duplex For Sale!!!,Ikeja Gra Ikeja Lagos,₦,"225,000,000",0,0,0, beds, baths, Toilets,GRA
7,Massively Built & Tastefully Finished Luxury Block Of 7flats Of 3bedroom Each For Sale!!!,Alausa Ikeja Lagos,₦,"500,000,000",0,1,0,3 beds,3 baths,3 Toilets,Alausa
8,"A Brand Newly Built & Tastefully Finished Luxury 5bedroom Fully Detached Duplex+ A Room Bq, Gym + Swimming Pool Area For Sale!!!",Ikeja Gra Ikeja Lagos,₦,"280,000,000",0,1,0,5 beds,5 baths,5 Toilets,GRA
9,3 Bedroom Apartment,Ikeja Gra Ikeja Lagos,₦,"90,000,000",1,1,0,3 beds,4 baths,4 Toilets,GRA
10,4 Bedroom Semi Detached House With Bq,Toyin Street Ikeja Lagos,₦,"130,000,000",0,0,0,4 beds,4 baths,5 Toilets,Other Ikeja
11,Luxury 2units Of 5bedroom Semi Detached Duplex+ A Room Bq For Sale!!!,Ikeja Gra Ikeja Lagos,₦,"170,000,000",1,1,0,5 beds,5 baths,5 Toilets,GRA
12,Luxury 3bedroom Maisonette,Ikeja Gra Ikeja Lagos,₦,"110,000,000",1,1,0,3 beds,3 baths,4 Toilets,GRA
13,2 Units Of 5 Bedrooms Semi Detached Houses,Opebi Ikeja Lagos,₦,"200,000,000",0,0,0,5 beds, baths, Toilets,Opebi
14,Luxury 3 Bedroom Maisonette,Ikeja Gra Ikeja Lagos,₦,"120,000,000",1,1,0,3 beds,3 baths,4 Toilets,GRA
15,Luxury 4 Bedroom Maisonette,Ikeja Gra Ikeja Lagos,₦,"140,000,000",1,1,0,4 beds,4 baths,5 Toilets,GRA
16,An Industrial Property Of 3 Bays Warehouse,Oba Akran Ikeja Lagos,₦,"600,000,000",0,0,0, beds, baths, Toilets,Other Ikeja
17,"A Newly Built (5) Bedroom Detached Duplex @ Omole Phase 1, Ikeja.",Maryland Ikeja Lagos,₦,"350,000,000",0,0,1,5 beds,6 baths,7 Toilets,Maryland
18,Newly Built 4 Bedroom Semidetached Duplex At Ajao Estate,Airport Road(ikeja) Ikeja Lagos,₦,"80,000,000",0,1,0, beds, baths, Toilets,Airport Road
19,4units Of 3 Bedroom Flat,Off Valley Estate Cement Mangoro Ikeja Lagos,₦,"60,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Ikeja
20,Plaza On 1200sqms Land,"Off Allen Avenue,ikeja Allen Avenue Ikeja Lagos",₦,"280,000,000",0,0,0, beds, baths, Toilets,Allen Avenue
21,Land,"Off Allen Avenue, Ikeja Allen Avenue Ikeja Lagos",₦,"95,000,000",0,0,0,0 beds,0 baths,0 Toilets,Allen Avenue
22,Luxury 3 Bedroom Apartment,Ikeja Gra Ikeja Lagos,₦,"90,000,000",1,1,0,3 beds,3 baths,4 Toilets,GRA
23,Luxury 5 Bedroom Detached Duplex,Ikeja Lagos,₦,"350,000,000",1,1,0,5 beds,5 baths,6 Toilets,Other Ikeja
24,Luxury 4 Bedroom Detached Duplex,Magodo Ikeja Lagos,₦,"295,000,000",1,1,0,4 beds,4 baths,5 Toilets,Other Ikeja
25,Luxury 3 Bedroom Flat,Allen Avenue Ikeja Lagos,₦,"55,000,000",0,0,0,3 beds,0 baths,0 Toilets,Allen Avenue
26,Mega Filling Station,Ikeja Lagos,₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikeja
27,Furnished Mini Flat,Off Toyin Street Toyin Street Ikeja Lagos,₦,"17,000,000",0,0,1,0 beds,0 baths,0 Toilets,Other Ikeja
28,"Commercial Property On 4 Floor Along Awolowo Way, Computer Village, Ikeja",Obafemi Awolowo Way Ikeja Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets,Awolowo Way
29,Fenced 7½ Acres Of Land With Warehouses,Oba Akran Ikeja Lagos,₦,"9,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikeja
30,3bedroom Terrace House + Bq,Ikeja Gra Ikeja Lagos,₦,"125,000,000",0,0,1,3 beds,5 baths,5 Toilets,GRA
31,4 Bedroom Wing Of Duplex,Adeniyi Jones Ikeja Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets,Adeniyi Jones
32,A Unique Executive 41 Rooms Hotel,Allen Avenue Ikeja Lagos,₦,"1,400,000,000",0,0,1,0 beds,10 baths,10 Toilets,Allen Avenue
33,Land,Mobolaji Bank Anthony Way Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets,Awolowo Way
34,4bedroom Flat With Bq,Opebi Ikeja Lagos,₦,"1,500,000",0,0,0,0 beds,0 baths,0 Toilets,Opebi
