Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
0,Luxury 3 Bedroom Apartment With Excellent Finishing,Off Ligali Ayorinde Victoria Island Lagos,₦,"125,000,000",1,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
1,Ultra Luxury 3 Bedroom Apartment,Victoria Island Victoria Island Extension Victoria Island Lagos,₦,"180,000,000",1,1,0,3 beds,4 baths,4 Toilets,Victoria Island Extension
2,Luxury 2 Bedrooms Apartment With Bq,Victoria Island Victoria Island Extension Victoria Island Lagos,₦,"120,000,000",1,1,0,2 beds,4 baths,3 Toilets,Victoria Island Extension
3,Brand New Specious Luxury 6 Bedroom Fully Detached Duplex With Bq And Swimming Pool For Sale,Victoria Island Adeola Odeku Victoria Island Lagos,₦,"590,000,000",0,1,0,6 beds,6 baths,7 Toilets,Waziri Adeola Odeku
4,Exquisite 3bedroom Apartment,Oniru Victoria Island Lagos,₦,"150,000,000",0,1,0,3 beds,3 baths,4 Toilets,Oniru
5,2 Bedroom Apartment,Cluster D1 1004 Victoria Island Lagos,₦,"95,000,000",1,0,0,2 beds,1 baths,2 Toilets,Other Victoria Island
6,Luxury One Bedroom Hotel Styled Apartment,The Knight's Place Ahmadu Bello Way Victoria Island Lagos,₦,"80,000,000",0,0,0,1 beds,1 baths,0 Toilets,Other Victoria Island
7,Luxury 2 Bedroom Apartment,"The Knight's Place, Ahmadu Bello Way Ahmadu Bello Way Victoria Island Lagos",₦,"160,000,000",1,0,0,2 beds,2 baths,3 Toilets,Other Victoria Island
8,Luxury 2 Bedroom Apartment,"The Knight's Place, Ahmadu Bello Way Victoria Island Lagos",₦,"160,000,000",1,0,0,2 beds,2 baths,3 Toilets,Other Victoria Island
9,Well Finished Open Plan Space,Idowu Taylor Victoria Island Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
10,Office Block On 2 Floors,Saka Tinubu Victoria Island Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
11,"4units Of Newly Built & Tastefully Finished Luxury 5bedroom Fully Detached Duplex + A Room Bq,gym Center & Cinema House For Sale!!!",Oniru Victoria Island Lagos,₦,"280,000,000",1,1,0,5 beds,5 baths,5 Toilets,Oniru
12,Brand New 2 Bedroom Pent House Apartment With Bq,Victoria Island Lagos,₦,"170,000,000",1,1,0,2 beds,3 baths,3 Toilets,Other Victoria Island
13,5 Bedroom Semi Detached House,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,5 beds,6 baths,6 Toilets,Oniru
14,"Luxurious 2 Units Of 4 Bedroom Penthouses With A Room Bq Each. , Swimming Pool, Gym",Victoria Island Lagos,₦,"190,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Victoria Island
15,2 Bedroom Penthouse,Akin Adesola Victoria Island Lagos,₦,"160,000,000",1,1,0,2 beds,3 baths,3 Toilets,Other Victoria Island
16,Strategic Waterfront Bare Land,Ozumba Mbadiwe Victoria Island Lagos,₦,"7,000,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
17,3 Bedroom Apartment,Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
18,3 Bedroom Flat,Victoria Island Extension Victoria Island Lagos,₦,"95,000,000",1,1,0,3 beds,4 baths,4 Toilets,Victoria Island Extension
19,3bedroom Apartment,Victoria Island Lagos,₦,"185,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
20,6 Units Of Affordable Duplex,Victoria Island Lagos,₦,"200,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
21,"Luxurious 8 Units Of 3 Bedroom Flat With Bq, Swimming Pool, Gym",Victoria Island Lagos,₦,"170,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
22,Newly Built 3 Bedroom Terraces With Bq,Waziri Adeola Odeku Victoria Island Lagos,₦,"200,000,000",1,1,0,3 beds,3 baths,4 Toilets,Waziri Adeola Odeku
23,The Deal: Full Service Contemporary Duplex,Oniru Victoria Island Lagos,₦,"170,000,000",1,1,0,4 beds,5 baths,5 Toilets,Oniru
24,Brand New 3 Bedroom Apartment With Bq,Adeola Odeku Victoria Island Lagos,₦,"165,000,000",1,1,0,3 beds,3 baths,4 Toilets,Waziri Adeola Odeku
25,3 Bedroom Apartment With Bq, Victoria Island Lagos,₦,"110,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
26,4 Bedroom Maisonette,Victoria Island Lagos,₦,"200,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Victoria Island
27,3 Bedrooms Fully Serviced Apartments With 24 Hrs Electricity Available For Sale(good For Shortlets,Victoria Island Lagos,₦,"135,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
28,2 Floor Full Service Terrace,Victoria Island Lagos,₦,"150,000,000",1,1,0,4 beds,5 baths,4 Toilets,Other Victoria Island
29,Purpose Built Office Block On 5 Floors,Adeola Odeku Victoria Island Lagos,₦,"1,500,000,000",0,0,0, beds, baths, Toilets,Waziri Adeola Odeku
30,This Lovely 3 Bedroom Apartment,Victoria Island Lagos,₦,"150,000,000",0,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
31,"Exquisitely Finished Luxury 5 Bedroom Detached Duplex For Sale At Oniru, Vi.",Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,6 baths,6 Toilets,Oniru
32,Stellar 3 Bedroom Terrace Duplex, Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
33,Fully Detached And Fully Serviced Contemporary Duplex,Oniru Victoria Island Lagos,₦,"170,000,000",1,1,0,4 beds,5 baths,5 Toilets,Oniru
34,Exclusively Built Brand New 6 Bedroom With A Pent Floor,Akin Ogunlewe Ligali Ayorinde Victoria Island Lagos,₦,"550,005,000",0,1,0,6 beds,6 baths,7 Toilets,Other Victoria Island
35,4 Units Of Three (3) Bedroom Luxury Terrace Duplexes.,"Kayla's Haven Terraces, Off Ozumba Mbadiwe (oba Yesufu Abiodun Road) Oniru Victoria Island Lagos",₦,"140,000,000",1,1,0,3 beds,4 baths,4 Toilets,Oniru
36,Purpose Built Office Block On 2 Floors At The Corner Of Amodu Ojikutu Street.,Amodu Ojikutu Street Saka Tinubu Victoria Island Lagos,₦,"700,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
37,Luxury & Executive Four Bedroom Apartment,Victoria Island Lagos,₦,"350,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Victoria Island
38,3 Bedroom Apartment With Bq,Oniru Victoria Island Lagos,₦,"190,000,000",1,1,0,3 beds,4 baths,4 Toilets,Oniru
39,4 Bedroom Detached House With Bq,Dideolu Etate Oniru Victoria Island Lagos,₦,"180,000,000",0,0,0,4 beds,4 baths,5 Toilets,Oniru
40,Luxurious 3 Bedroom Flat,Victoria Island Lagos,₦,"130,000,000",1,1,0,3 beds,4 baths,0 Toilets,Other Victoria Island
41,One Of Its Kind. An Elegant 5 Bedroom Fully Detached Duplex In A Top Private Estate In Oniru,Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,6 baths,6 Toilets,Oniru
42,5 Bedroom Detached Duplex With Bq,Oniru Victoria Island Lagos,₦,"270,000,000",0,0,0, beds, baths, Toilets,Oniru
43,Newly Built 3bedrooms Terrace Duplex,Victoria Island Lagos,₦,"190,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
44,Luxury 3 Bedroom Apartment With Service Quarter,"Water Corporation Drive, Off Ligali Ayorinde, Oniru, Victoria Island Extension Victoria Island Lagos",₦,"87,000,000",1,0,0,3 beds,3 baths,4 Toilets,Victoria Island Extension
